8.0 v159.7,,15 fps,30 fps,60 fps,200 fps,,Setup,,,Notes
,Boost,Average ips (items per second),,,,,,,,
Conveyor 8 chain,,5.06,5.99,6.65,6.66,,,,,Throughput becomes lower the more conveyors are chained with results somewhat following exponential decay
,OD,7.51,8.85,9.46,9.86,,,,,
,ODD,12.3,14.99,14.99,15.98,,,,,
Titanium conveyor 8 chain,,7.5,9.99,10.08,11.11,,,,,
,OD,12.03,14.7,14.99,16.66,,,,,
,ODD,15.78,18.39,21.04,27.56,,,,,
Plastanium conveyor 8 chain,,37.69,37.5,37.66,39.31,,,,,
,OD,50.26,50.41,54.79,58.78,,,,,
,ODD,70.68,77.02,86.51,95.63,,,,,
Junction 2 chain,,11.24,12.39,13.12,13.63,,,,,
,OD,14.45,17.65,18.94,20.31,,,,,
,ODD,15,25.4,29.95,33.3,,,,,
Junction 6 chain,,12,12.17,12.96,13.6,,,,,
,OD,17.14,17.66,18.93,20.22,,,,,
,ODD,20,25.71,29.99,33.15,,,,,
Bridge conveyor,,9.44,10.54,10.83,11.13,,,,,
,OD,14.64,14.73,16.44,16.5,,,,,
,ODD,14.56,26.21,26.25,27.44,,,,,
Bridge weave 4 in / 1 out,,15,30,43.36,44.52,,,,,
,OD,15,30,60,66.19,,,,,
,ODD,15,30,60,109.88,,,,,
Phase conveyor,,30,30,30,30,,,,,
,OD,45,45,45,45,,,,,
,ODD,75,74.14,74.82,75,,,,,
Phase weave 2 in / 1 out,,60,59.99,60,60,,,,,
,OD,90,89.99,90,90,,,,,
,ODD,149.91,149.99,150,150,,,,,
Phase weave 3 in / 1 out,,60,60,60,60,,,,,
,OD,89.98,90,90,90,,,,,
,ODD,149.67,150,150,150,,,,,
Item source,,100,100,100,100,,,,,
,OD,147.89,149,149.9,150,,,,,
,ODD,244.22,247,249.67,250,,,,,
Gates/sorters,Any,Infinite,,,,,,,,
Router/distributor,,Same as fps,,,,,,,,
,OD,,,,,,,,,
,ODD,,,,,,,,,
Router/distributor chain,,5.81,6.55,6.98,7.27,,,,,
,OD,7.5,9.9,10,11.01,,,,,
,ODD,15,15,15,18.14,,,,,
Router/distributor to junction,,12,12.17,13.43,13.61,,,,,
,OD,16.66,17.66,18.94,20.24,,,,,
,ODD,20,29.99,32.72,34.2,,,,,
Junction to router/distributor,,11.25,12.34,13.54,13.68,,,,,
,OD,14.44,19.90,19.90,20.65,,,,,
,ODD,15,25.71,30,33.31,,,,,
Gate/sorter to router/distributor,,Same as fps,,,,,,,,
,OD,,,,,,,,,
,ODD,,,,,,,,,
Router/distributor to gate/sorter,,5.79,6.5,6.98,7.14,,,,,
,OD,7.5,9.98,9.95,11.03,,,,,
,ODD,14.99,15,15,18.13,,,,,
Unloader,,10.99,11,11,11,,,,,Surprisingly fps resistant for a distribution block as long as you dont overdrive it
,OD,14.84,16.4,16.47,16.5,,,,,
,ODD,14.99,27.49,27.49,27.5,,,,,
Mass driver sender,,35.66,35.9,35.9,35.99,,,,,"For whatever reason throughput varies a lot, each test needed at least 20 minutes"
,OD,52.6,53.25,53.45,53.98,,,,,
,ODD,87.74,88.80,89.47,89.93,,,,,
Mass driver receiver 3 in / 1 out,,60,60,59.99,60,,,,,
,OD,90,89.99,89.99,90,,,,,
,ODD,149.99,149.99,149.99,150,,,,,
